Language name,Native name, ,639?2/B,639?3,639?6,Notes,
Afro-Asiatic,Afar,aa,aar,aar,aar,aars,
Northwest Caucasian,Abkhaz,ab,abk,abk,abk,abks,
Indo-European,Avestan,ae,ave,ave,ave,,ancient
Indo-European,Afrikaans,af,afr,afr,afr,afrs,
Niger-Congo,Akan,ak,aka,aka,aka +-2,,macrolanguage;Twi-is [tw/twi];Fanti-is [fat]
Afro-Asiatic,Amharic,am,amh,amh,amh,,
Indo-European,Aragonese,an,arg,arg,arg,,
Afro-Asiatic,Arabic,ar,ara,ara,ara +-30,,macrolanguage;Standard Arabicis [arb]
Indo-European,Assamese,as,asm,asm,asm,,
Northeast Caucasian,Avaric,av,ava,ava,ava,,
Aymaran,Aymara,ay,aym,aym,aym +-2,,macrolanguage
Turkic,Azerbaijani,az,aze,aze,aze +-2,,macrolanguage
Turkic,Bashkir,ba,bak,bak,bak,,
Indo-European,Belarusian,be,bel,bel,bel,,
Indo-European,Bulgarian,bg,bul,bul,bul,buls,
Indo-European,Bihari,bh,bih,bih,,,Collective language code for-Bhojpuri;Magahi; andMaithili
Creole,Bislama,bi,bis,bis,bis,,
Niger-Congo,Bambara,bm,bam,bam,bam,,
Indo-European,Bengali; Bangla,bn,ben,ben,ben,,
Sino-Tibetan,Tibetan Standard; Tibetan; Central,bo,bod,tib,bod,,
Indo-European,Breton,br,bre,bre,bre,,
Indo-European,Bosnian,bs,bos,bos,bos,boss,
Indo-European,Catalan,ca,cat,cat,cat,,
Northeast Caucasian,Chechen,ce,che,che,che,,
Austronesian,Chamorro,ch,cha,cha,cha,,
Indo-European,Corsican,co,cos,cos,cos,,
Algonquian,Cree,cr,cre,cre,cre +-6,,macrolanguage
Indo-European,Czech,cs,ces,cze,ces,,
Indo-European,Old Church Slavonic;Church Slavonic;-Old Bulgarian,cu,chu,chu,chu,,ancient; in use by-Orthodox Church
Turkic,Chuvash,cv,chv,chv,chv,,
Indo-European,Welsh,cy,cym,wel,cym,,
Indo-European,Danish,da,dan,dan,dan,,
Indo-European,German,de,deu,ger,deu,deus,
Indo-European,Divehi; Dhivehi; Maldivian,dv,div,div,div,,
Sino-Tibetan,Dzongkha,dz,dzo,dzo,dzo,,
Niger-Congo,Ewe,ee,ewe,ewe,ewe,,
Indo-European,Greek-(modern),el,ell,gre,ell,ells,
Indo-European,English,en,eng,eng,eng,engs,
Constructed,Esperanto,eo,epo,epo,epo,,constructed; initiated from L.L. Zamenhof; 1887
Indo-European,Spanish,es,spa,spa,spa,,
Uralic,Estonian,et,est,est,est +-2,,macrolanguage
Language isolate,Basque,eu,eus,baq,eus,,
Indo-European,Persian-(Farsi),fa,fas,per,fas +-2,,macrolanguage
Niger-Congo,Fula; Fulah; Pulaar; Pular,ff,ful,ful,ful +-9,,macrolanguage
Uralic,Finnish,fi,fin,fin,fin,,
Austronesian,Fijian,fj,fij,fij,fij,,
Indo-European,Faroese,fo,fao,fao,fao,,
Indo-European,French,fr,fra,fre,fra,fras,
Indo-European,Western Frisian,fy,fry,fry,fry,,
Indo-European,Irish,ga,gle,gle,gle,,
Indo-European,Scottish Gaelic; Gaelic,gd,gla,gla,gla,,
Indo-European,Galician,gl,glg,glg,glg,,
Tupian,Guaran-,gn,grn,grn,grn +-5,,macrolanguage
Indo-European,Gujarati,gu,guj,guj,guj,,
Indo-European,Manx,gv,glv,glv,glv,,
Afro-Asiatic,Hausa,ha,hau,hau,hau,,
Afro-Asiatic,Hebrew-(modern),he,heb,heb,heb,,
Indo-European,Hindi,hi,hin,hin,hin,hins,
Austronesian,Hiri Motu,ho,hmo,hmo,hmo,,
Indo-European,Croatian,hr,hrv,hrv,hrv,,
Creole,Haitian; Haitian Creole,ht,hat,hat,hat,,
Uralic,Hungarian,hu,hun,hun,hun,,
Indo-European,Armenian,hy,hye,arm,hye,,
Niger-Congo,Herero,hz,her,her,her,,
Constructed,Interlingua,ia,ina,ina,ina,,constructed byInternational Auxiliary Language Association
Austronesian,Indonesian,id,ind,ind,ind,,Covered by macrolanguage [ms/msa]
Constructed,Interlingue,ie,ile,ile,ile,,constructed byEdgar de Wahl; first published in 1922
Niger-Congo,Igbo,ig,ibo,ibo,ibo,,
Sino-Tibetan,Nuosu,ii,iii,iii,iii,,Standard form of-Yi languages
Eskimo-Aleut,Inupiaq,ik,ipk,ipk,ipk +-2,,macrolanguage
Constructed,Ido,io,ido,ido,ido,idos,constructed by De Beaufront; 1907; as variation of Esperanto
Indo-European,Icelandic,is,isl,ice,isl,,
Indo-European,Italian,it,ita,ita,ita,itas,
Eskimo-Aleut,Inuktitut,iu,iku,iku,iku +-2,,macrolanguage
Japonic,Japanese,ja,jpn,jpn,jpn,,
Austronesian,Javanese,jv,jav,jav,jav,,
South Caucasian,Georgian,ka,kat,geo,kat,,
Niger-Congo,Kongo,kg,kon,kon,kon +-3,,macrolanguage
Niger-Congo,Kikuyu; Gikuyu,ki,kik,kik,kik,,
Niger-Congo,Kwanyama; Kuanyama,kj,kua,kua,kua,,
Turkic,Kazakh,kk,kaz,kaz,kaz,,
Eskimo-Aleut,Kalaallisut; Greenlandic,kl,kal,kal,kal,,
Austroasiatic,Khmer,km,khm,khm,khm,,a.k.a. Cambodian
Dravidian,Kannada,kn,kan,kan,kan,,
Koreanic,Korean,ko,kor,kor,kor,,
Nilo-Saharan,Kanuri,kr,kau,kau,kau +-3,,macrolanguage
Indo-European,Kashmiri,ks,kas,kas,kas,,
Indo-European,Kurdish,ku,kur,kur,kur +-3,,macrolanguage
Uralic,Komi,kv,kom,kom,kom +-2,,macrolanguage
Indo-European,Cornish,kw,cor,cor,cor,,
Turkic,Kyrgyz,ky,kir,kir,kir,,
Indo-European,Latin,la,lat,lat,lat,lats,ancient
Indo-European,Luxembourgish; Letzeburgesch,lb,ltz,ltz,ltz,,
Niger-Congo,Ganda,lg,lug,lug,lug,,
Indo-European,Limburgish; Limburgan; Limburger,li,lim,lim,lim,,
Niger-Congo,Lingala,ln,lin,lin,lin,,
Tai-Kadai,Lao,lo,lao,lao,lao,,
Indo-European,Lithuanian,lt,lit,lit,lit,,
Niger-Congo,Luba-Katanga,lu,lub,lub,lub,,
Indo-European,Latvian,lv,lav,lav,lav +-2,,macrolanguage
Austronesian,Malagasy,mg,mlg,mlg,mlg +10,,macrolanguage
Austronesian,Marshallese,mh,mah,mah,mah,,
Austronesian,M?ori,mi,mri,mao,mri,,
Indo-European,Macedonian,mk,mkd,mac,mkd,,
Dravidian,Malayalam,ml,mal,mal,mal,,
Mongolic,Mongolian,mn,mon,mon,mon +-2,,macrolanguage
Indo-European,Marathi (Mar??h?),mr,mar,mar,mar,,
Austronesian,Malay,ms,msa,may,msa +13,,macrolanguage;Standard Malayis [zsm];Indonesian-is [id/ind]
Afro-Asiatic,Maltese,mt,mlt,mlt,mlt,,
Sino-Tibetan,Burmese,my,mya,bur,mya,,
Austronesian,Nauruan,na,nau,nau,nau,,
Indo-European,Norwegian Bokm-l,nb,nob,nob,nob,,Covered by macrolanguage [no/nor]
Niger-Congo,Northern Ndebele,nd,nde,nde,nde,,
Indo-European,Nepali,ne,nep,nep,nep,,
Niger-Congo,Ndonga,ng,ndo,ndo,ndo,,
Indo-European,Dutch,nl,nld,dut,nld,,
Indo-European,Norwegian Nynorsk,nn,nno,nno,nno,,Covered by macrolanguage [no/nor]
Indo-European,Norwegian,no,nor,nor,nor +-2,,macrolanguage;Bokm-l-is [nb/nob];Nynorsk-is [nn/nno]
Niger-Congo,Southern Ndebele,nr,nbl,nbl,nbl,,
Den-Yeniseian,Navajo; Navaho,nv,nav,nav,nav,,
Niger-Congo,Chichewa; Chewa; Nyanja,ny,nya,nya,nya,,
Indo-European,Occitan,oc,oci,oci,oci,,
Algonquian,Ojibwe; Ojibwa,oj,oji,oji,oji +-7,,macrolanguage
Afro-Asiatic,Oromo,om,orm,orm,orm +-4,,macrolanguage
Indo-European,Oriya,or,ori,ori,ori,,
Indo-European,Ossetian; Ossetic,os,oss,oss,oss,,
Indo-European,Panjabi; Punjabi,pa,pan,pan,pan,,
Indo-European,P?li,pi,pli,pli,pli,,ancient
Indo-European,Polish,pl,pol,pol,pol,pols,
Indo-European,Pashto; Pushto,ps,pus,pus,pus +-3,,macrolanguage
Indo-European,Portuguese,pt,por,por,por,,
Quechuan,Quechua,qu,que,que,que +44,,macrolanguage
Indo-European,Romansh,rm,roh,roh,roh,,
Niger-Congo,Kirundi,rn,run,run,run,,
Indo-European,Romanian,ro,ron,rum,ron,,[mo] for Moldavian has been withdrawn; recommending [ro] also for Moldavian
Indo-European,Russian,ru,rus,rus,rus,,
Niger-Congo,Kinyarwanda,rw,kin,kin,kin,,
Indo-European,Sanskrit (Sa?sk?ta),sa,san,san,san,,ancient; still spoken
Indo-European,Sardinian,sc,srd,srd,srd +-4,,macrolanguage
Indo-European,Sindhi,sd,snd,snd,snd,,
Uralic,Northern Sami,se,sme,sme,sme,,
Creole,Sango,sg,sag,sag,sag,,
Indo-European,Sinhala; Sinhalese,si,sin,sin,sin,,
Indo-European,Slovak,sk,slk,slo,slk,,
Indo-European,Slovene,sl,slv,slv,slv,,
Austronesian,Samoan,sm,smo,smo,smo,,
Niger-Congo,Shona,sn,sna,sna,sna,,
Afro-Asiatic,Somali,so,som,som,som,,
Indo-European,Albanian,sq,sqi,alb,sqi +-4,,"macrolanguage; ""Albanian Phylozone"" in 639-6"
Indo-European,Serbian,sr,srp,srp,srp,,The ISO 639-2/T code srp deprecated the ISO 639-2/B code scc[1]
Niger-Congo,Swati,ss,ssw,ssw,ssw,,
Niger-Congo,Southern Sotho,st,sot,sot,sot,,
Austronesian,Sundanese,su,sun,sun,sun,,
Indo-European,Swedish,sv,swe,swe,swe,,
Niger-Congo,Swahili,sw,swa,swa,swa +-2,,macrolanguage
Dravidian,Tamil,ta,tam,tam,tam,,
Dravidian,Telugu,te,tel,tel,tel,,
Indo-European,Tajik,tg,tgk,tgk,tgk,,
Tai-Kadai,Thai,th,tha,tha,tha,,
Afro-Asiatic,Tigrinya,ti,tir,tir,tir,,
Turkic,Turkmen,tk,tuk,tuk,tuk,,
Austronesian,Tagalog,tl,tgl,tgl,tgl,,Note:-Filipino(Pilipino) has the code [fil]
Niger-Congo,Tswana,tn,tsn,tsn,tsn,,
Austronesian,Tonga-(Tonga Islands),to,ton,ton,ton,,
Turkic,Turkish,tr,tur,tur,tur,,
Niger-Congo,Tsonga,ts,tso,tso,tso,,
Turkic,Tatar,tt,tat,tat,tat,,
Niger-Congo,Twi,tw,twi,twi,twi,,Covered by macrolanguage [ak/aka]
Austronesian,Tahitian,ty,tah,tah,tah,,One of the Reo M?`ohi (languages of French Polynesia)
Turkic,Uyghur,ug,uig,uig,uig,,
Indo-European,Ukrainian,uk,ukr,ukr,ukr,,
Indo-European,Urdu,ur,urd,urd,urd,,
Turkic,Uzbek,uz,uzb,uzb,uzb +-2,,macrolanguage
Niger-Congo,Venda,ve,ven,ven,ven,,
Austroasiatic,Vietnamese,vi,vie,vie,vie,,
Constructed,Volap-k,vo,vol,vol,vol,,constructed
Indo-European,Walloon,wa,wln,wln,wln,,
Niger-Congo,Wolof,wo,wol,wol,wol,,
Niger-Congo,Xhosa,xh,xho,xho,xho,,
Indo-European,Yiddish,yi,yid,yid,yid +-2,,macrolanguage
Niger-Congo,Yoruba,yo,yor,yor,yor,,
Tai-Kadai,Zhuang; Chuang,za,zha,zha,zha +16,,macrolanguage
Sino-Tibetan,Chinese,zh,zho,chi,zho +13,,macrolanguage
Niger-Congo,Zulu,zu,zul,zul,zul,,
